Data File Name,Scale Name,Column Name,Transform ,Reverse,Min,Max,Informant_MateRetention_General,Informant_MateRetention_Breakup,Informant_SelfProtection_total,Informant_Disease_total,Informant_Affiliation_group,Informant_Status_total,Informant_MateSeeking_total,Informant_Family_total,Informant_BFI_Extraversion,Informant_BFI_Agreeableness,Informant_BFI_Conscientiousness,Informant_BFI_Neuroticism,Informant_BFI_Openness_To_Experience,Informant_BFI_Total,Informant_Dominance_score,Informant_Prestige_score
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_37,0,,,,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_38,0,,,,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_39,0,1,1,7,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_40,0,1,1,7,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_41,0,1,1,7,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_42,0,,,,,,,,,,1,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_43,0,,,,,,,,,,,1,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_44,0,1,1,7,,,,,,,,1,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_45,0,1,1,7,,,,,,,,1,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_46,0,1,1,7,,,,,,,,1,,,,,,,,
