Data File,Scale Name ,Column name,transform,reverse,min,max,Self_perception_community,Self_perception_country,Self_perception_total
TDS2_Session_2B,MSSSS,MSSSS_1,0,,1,10,1,0,1
TDS2_Session_2B,MSSSS,MSSSS_2,0,,1,10,0,1,1
