-------------------------------------------------------------------------------
tds1_tds2
Running /projects/dsnlab/shared/tds/TDS_scripts/fMRI/ppc/spm/tds1_tds2/dartel_tds1_tds2_job.m
-------------------------------------------------------------------------------

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 


------------------------------------------------------------------------
Running job #1
------------------------------------------------------------------------
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'Run Dartel (create Templates)'
 1735.38, 50.3994, 10.5935, 1.28331, 0.50445, 0.284948, 0.183064, 0.127105,
1 1	804586	0	804586	270.357
1 2	1.1552e+06	0	1.1552e+06	327.421
1 3	811703	0	811703	300.833
1 4	762308	0	762308	246.206
1 5	752784	0	752784	277.139
1 6	896561	0	896561	312.586
1 7	1.25606e+06	0	1.25606e+06	412.309
1 8	920741	0	920741	304.378
1 9	1.18308e+06	0	1.18308e+06	378.325
1 10	808874	0	808874	272.889
1 11	887795	0	887795	300.928
1 12	760081	0	760081	292.525
1 13	781612	0	781612	264.542
1 14	766044	0	766044	252.051
1 15	1.0775e+06	0	1.0775e+06	378.807
1 16	712971	0	712971	223.482
1 17	654832	0	654832	208.613
1 18	966699	0	966699	315.016
1 19	811963	0	811963	294.848
1 20	682332	0	682332	211.563
1 21	851740	0	851740	288.138
1 22	705200	0	705200	229.277
1 23	732487	0	732487	232.079
1 24	763367	0	763367	277.778
1 25	923565	0	923565	308.139
1 26	1.20663e+06	0	1.20663e+06	405.208
1 27	753013	0	753013	264.711
1 28	708891	0	708891	221.207
1 29	725949	0	725949	242.68
1 30	842066	0	842066	329.961
1 31	712372	0	712372	233.704
1 32	775269	0	775269	253.763
1 33	728793	0	728793	234.825
1 34	727424	0	727424	241.839
1 35	701242	0	701242	248.898
1 36	685006	0	685006	223.461
1 37	791420	0	791420	286.049
1 38	769469	0	769469	268.205
1 39	638374	0	638374	198.869
1 40	668778	0	668778	222.518
1 41	923700	0	923700	314.12
1 42	660869	0	660869	214.516
1 43	767369	0	767369	259.019
1 44	764500	0	764500	254.05
1 45	729415	0	729415	227.856
1 46	703766	0	703766	237.582
1 47	706803	0	706803	237.089
1 48	697938	0	697938	218.939
1 49	788712	0	788712	298.279
1 50	984723	0	984723	361.21
1 51	742838	0	742838	244.721
1 52	901706	0	901706	266.881
1 53	802306	0	802306	299.425
1 54	679778	0	679778	241.527
1 55	706613	0	706613	251.221
1 56	774084	0	774084	284.095
1 57	654336	0	654336	201.989
1 58	730948	0	730948	275.824
1 59	789991	0	789991	262.245
1 60	722120	0	722120	237.48
1 61	777863	0	777863	280.621
1 62	680417	0	680417	222.71
1 63	659046	0	659046	235.254
1 64	1.43479e+06	0	1.43479e+06	420.752
1 65	799879	0	799879	282.501
1 66	763211	0	763211	247.585
1 67	697222	0	697222	253.459
1 68	728324	0	728324	248.338
1 69	662517	0	662517	220.276
1 70	667858	0	667858	214.313
1 71	671323	0	671323	225.854
1 72	665012	0	665012	225.434
1 73	756068	0	756068	246.1
1 74	666951	0	666951	211.697
1 75	863804	0	863804	253.874
1 76	841941	0	841941	292.418
1 77	670347	0	670347	223.371
1 78	771978	0	771978	262.657
1 79	810194	0	810194	256.766
1 80	723412	0	723412	242.471
1 81	781186	0	781186	271.185
1 82	714125	0	714125	250.272
1 83	697147	0	697147	252.443
1 84	757908	0	757908	282.446
1 85	762039	0	762039	239.431
1 86	697128	0	697128	231.976
1 87	771931	0	771931	297.764
1 88	878155	0	878155	290.967
1 89	741933	0	741933	249.872
1 90	687525	0	687525	216.333
1 91	753643	0	753643	254.153
1 92	1.07019e+06	0	1.07019e+06	361.478
1 93	629444	0	629444	191.041
