Data File Name,Scale Name,Column Name,transform,reverse,min,max,Anxious_Depressed,Withdrawn_Depressed,Somatic_Complaints,Internalizing,Social_Problems,Thought_Problems,Attention_Problems,Rule_Breaking_Behavior,Aggressive_Behavior,Externalizing,SES
TDS1_CBCL_Pre,CBCL,School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,No_Why,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_Math,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_Other_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_Other_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Grades_Other_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Other_Subs_1_TEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Other_Subs_2_TEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Other_Subs_3_TEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,SpecialEd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,What_Kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Rep_Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Reasons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,SchoolProb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Describe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Started,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Ended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Ended_When,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Disability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Decribe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,Concerns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
