parcellation,hemisphere,region
168,bilateral,dACC_BA24
80,bilateral,dACC_BA24
62,left,rostralACC_BA32
172,right,rostralACC_BA32
222,left,perigenualACC_BA32
26,right,perigenualACC_BA32
98,bilateral,subACCmedOFC_BA11
145,bilateral,subACC_BA25
