Data File ,Scale Name,Column Name,Transform,Reverse,Min,Max,Disclosure
TDS2_Session_3_child,PMQ_Child,PMQ_1,0,,1,5,1
TDS2_Session_3_child,PMQ_Child,PMQ_2,0,,1,5,1
TDS2_Session_3_child,PMQ_Child,PMQ_3,0,1,1,5,1
TDS2_Session_3_child,PMQ_Child,PMQ_4,0,1,1,5,1
TDS2_Session_3_child,PMQ_Child,PMQ_5,0,,1,5,1
