Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_Kin_total
YADS-V,FSMI_Kin,FSMI_Kin_1,0,0,,,1
YADS-V,FSMI_Kin,FSMI_Kin_2,0,0,,,1
YADS-V,FSMI_Kin,FSMI_Kin_3,0,1,1,7,1
YADS-V,FSMI_Kin,FSMI_Kin_4,0,0,,,1
YADS-V,FSMI_Kin,FSMI_Kin_5,0,1,1,7,1
YADS-V,FSMI_Kin,FSMI_Kin_6,0,0,,,1
