Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_Family_total
YADS-V,FSMI_Family,FSMI_Family_1,,,,,1
YADS-V,FSMI_Family,FSMI_Family_2,,1,1,7,1
YADS-V,FSMI_Family,FSMI_Family_3,,1,1,7,1
YADS-V,FSMI_Family,FSMI_Family_4,,1,1,7,1
YADS-V,FSMI_Family,FSMI_Family_5,,,,,1
YADS-V,FSMI_Family,FSMI_Family_6,,,,,1
