Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_MateSeeking_total
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_1,,,,,1
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_2,,,,,1
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_3,,1,1,7,1
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_4,,1,1,7,1
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_5,,1,1,7,1
YADS-V,FSMI_MateSeeking,FSMI_MateSeeking_6,,,,,1
