Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_SelfProtection_total
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_1,,,,,1
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_2,,,,,1
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_3,,1,1,7,1
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_4,,,,,1
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_5,,,,,1
YADS-V,FSMI_SelfProtection,FSMI_SelfProtection_6,,,,,1
